gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Cluster
0,0,1,1,51,1,No,Fiber optic,No,Yes,No,No,Yes,No,One year,0,Credit card (automatic),45.79,2256.47,0,0
0,0,0,0,19,1,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,0,Electronic check,47.21,845.88,1,0
1,0,0,1,10,1,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,0,Mailed check,78.55,739.28,1,2
0,1,1,0,72,0,No phone service,DSL,No,No,No,No,Yes,No,Two year,0,Electronic check,103.34,6943.11,0,2
1,0,0,1,59,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),80.63,5138.86,1,0
1,0,1,1,15,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Bank transfer (automatic),105.49,1700.99,1,0
0,1,1,0,12,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,55.87,726.56,0,1
0,0,0,0,52,0,No phone service,DSL,No,No,Yes,No,Yes,Yes,Two year,0,Electronic check,21.31,1057.95,0,2
1,0,0,0,5,1,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,0,Electronic check,23.48,112.73,0,0
0,0,1,0,24,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),113.03,2659.55,0,2
1,0,0,0,62,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Electronic check,37.78,2351.07,0,0
0,0,0,0,46,1,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,0,Credit card (automatic),47.08,1967.27,0,0
1,1,1,1,14,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,25.6,356.48,0,2
1,0,0,0,53,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,115.42,5602.94,0,1
0,0,0,0,42,1,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,0,Electronic check,112.24,5034.31,0,2
0,0,1,1,13,0,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,0,Credit card (automatic),69.97,990.06,0,2
0,0,0,0,33,1,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Credit card (automatic),61.56,1882.79,0,0
1,0,1,0,1,1,No,DSL,Yes,No,No,No,Yes,No,Two year,1,Bank transfer (automatic),33.05,36.3,0,2
1,0,0,0,19,1,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),101.67,1915.08,0,2
0,0,0,0,15,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,65.21,985.25,0,1
0,1,1,0,66,1,Yes,DSL,No,No,No,No,No,Yes,Two year,0,Credit card (automatic),108.66,7229.88,0,2
1,0,1,1,29,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),69.05,2140.72,0,2
0,0,0,0,50,1,No,DSL,No,No,Yes,No,Yes,No,Two year,0,Electronic check,21.83,1007.53,0,2
0,0,0,0,2,1,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,0,Credit card (automatic),29.0,60.39,0,2
1,0,0,0,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),108.74,5618.07,1,1
0,0,1,0,45,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,75.88,3734.71,1,2
1,0,1,1,39,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,106.0,4299.77,0,1
1,0,1,0,28,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic check,22.96,705.15,0,0
0,0,1,0,22,1,Yes,Fiber optic,No,No,No,No,No,No,Two year,0,Electronic check,110.07,2427.93,0,0
0,0,1,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,67.68,996.61,1,1
0,1,0,0,68,1,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,1,Electronic check,51.45,3841.62,0,2
1,0,1,0,65,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,0,Credit card (automatic),22.81,1494.03,0,0
1,0,0,0,22,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,0,Mailed check,101.27,2299.65,1,2
1,0,1,1,22,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),69.97,1503.4,1,0
0,0,0,0,6,1,No,DSL,Yes,Yes,No,No,No,Yes,Two year,1,Bank transfer (automatic),64.55,362.49,0,2
1,0,0,1,42,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),84.14,3862.2,0,1
1,0,0,0,61,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,1,Electronic check,45.05,2827.1,1,0
1,0,1,0,33,1,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,113.55,3663.98,0,2
0,0,1,0,50,1,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,1,Mailed check,37.8,1936.33,0,2
1,0,0,1,43,1,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,0,Bank transfer (automatic),116.25,4911.45,1,0
0,0,0,1,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,84.85,6389.42,0,1
0,0,1,0,54,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),108.01,5594.87,0,1
1,0,0,0,65,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),96.52,6728.23,0,1
1,0,0,0,57,1,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,0,Electronic check,47.05,2622.42,0,0
1,0,0,1,42,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,98.57,3875.15,0,1
0,0,0,0,60,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,26.4,1701.9,0,0
0,0,1,1,37,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,28.39,1104.31,1,2
0,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,0,Mailed check,73.4,1876.75,0,2
0,0,1,0,56,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,0,Credit card (automatic),117.43,5923.76,0,0
1,1,0,1,40,1,No,DSL,No,No,No,No,No,No,Two year,1,Mailed check,85.16,3499.76,0,2
1,0,1,0,72,1,No,DSL,No,Yes,No,No,No,No,One year,0,Bank transfer (automatic),32.74,2151.56,0,2
0,1,0,0,49,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,108.02,4864.46,0,0
0,0,1,0,60,1,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,1,Bank transfer (automatic),86.59,4992.84,0,2
0,0,0,0,68,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,1,Electronic check,108.82,7988.1,0,0
0,0,0,0,62,0,No phone service,DSL,No,Yes,No,No,No,Yes,One year,1,Electronic check,92.24,5799.96,0,2
0,0,1,0,25,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),24.48,611.48,1,1
0,0,1,0,25,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,60.46,1364.0,1,2
0,0,0,0,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,42.88,3003.53,0,1
0,0,1,1,22,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,53.61,1272.66,1,2
1,0,0,0,51,0,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),50.39,2544.96,1,0
1,0,0,0,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,113.58,8310.38,0,1
0,0,1,1,69,1,No,DSL,No,No,Yes,No,Yes,No,One year,1,Electronic check,33.48,2106.96,0,2
1,0,0,0,3,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),56.03,170.63,0,1
1,0,0,0,0,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),111.05,2022.05,0,1
1,1,1,1,5,1,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,30.83,145.43,0,2
0,0,1,0,55,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,1,Electronic check,37.49,2077.6,0,0
0,0,0,0,28,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,95.21,2569.75,0,2
0,0,1,1,2,0,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,0,Mailed check,64.78,135.82,0,0
1,0,1,0,41,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,19.47,769.29,0,2
0,0,0,0,8,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,0,Credit card (automatic),67.53,518.32,0,0
1,0,0,1,58,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,61.39,3208.65,1,0
0,0,0,1,37,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,92.83,3547.37,0,0
0,0,0,0,41,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,0,Bank transfer (automatic),47.55,1987.89,1,0
1,0,1,0,49,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,0,Credit card (automatic),23.73,1128.87,0,0
0,0,0,0,13,0,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,1,Electronic check,44.7,628.51,0,2
1,0,0,1,44,1,Yes,DSL,No,No,Yes,No,No,No,Two year,1,Electronic check,116.96,5379.08,0,2
0,0,0,1,32,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),53.43,1550.98,1,1
0,1,0,0,19,1,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,1,Electronic check,88.24,1698.41,1,0
0,0,1,1,33,1,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,0,Bank transfer (automatic),44.27,1363.71,0,0
1,1,1,1,66,1,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,33.18,2067.3,1,2
0,0,0,0,66,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),92.14,6590.13,1,1
1,0,0,0,69,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),101.95,7574.86,1,0
1,0,1,0,38,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),115.79,4582.96,1,2
1,0,1,0,42,1,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,0,Bank transfer (automatic),53.79,2045.38,0,2
0,0,0,1,38,1,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),64.88,2474.68,1,2
0,0,1,0,43,0,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),79.83,3109.95,1,0
0,0,0,0,0,1,Yes,DSL,Yes,No,No,No,No,No,Two year,1,Credit card (automatic),99.73,2022.05,0,2
0,0,1,0,49,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,109.12,5707.06,0,1
0,0,1,0,61,1,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,99.33,6546.38,0,0
1,1,1,0,2,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),26.81,57.31,0,1
1,0,1,0,7,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.45,331.48,1,0
1,1,0,0,47,1,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,73.01,3308.77,0,2
1,0,1,1,40,1,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),53.48,2292.19,0,0
1,0,0,1,35,1,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Mailed check,109.49,3802.82,1,0
1,0,1,0,56,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,71.65,3763.96,1,1
0,0,1,0,42,1,No,DSL,No,No,Yes,No,No,No,One year,1,Mailed check,33.37,1467.39,0,2
1,0,0,0,27,1,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,0,Mailed check,84.65,2396.4,1,0
1,0,1,0,58,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,59.23,3389.06,1,0
1,0,1,0,28,1,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,0,Mailed check,101.35,2823.94,0,0
1,0,1,1,37,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,104.3,3810.55,0,2
0,0,1,0,33,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),97.93,2922.79,0,1
1,0,0,1,64,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,22.37,1417.42,0,1
0,0,0,0,19,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.04,665.26,1,0
0,0,0,0,25,1,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,0,Credit card (automatic),93.96,2339.89,1,2
1,1,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),66.98,1702.66,0,1
1,0,1,0,22,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),94.71,2075.24,1,0
0,0,1,1,70,1,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,0,Electronic check,61.82,4174.07,0,0
1,0,0,1,21,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,46.42,1008.48,1,1
1,0,0,0,46,1,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,1,Mailed check,33.64,1489.54,0,0
1,0,0,0,67,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),79.36,5751.14,0,1
0,0,1,0,66,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),73.6,4650.74,0,1
1,0,1,0,65,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Mailed check,44.56,2612.12,0,0
0,0,0,0,68,1,Yes,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,44.55,3104.76,1,2
0,1,1,0,14,1,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Electronic check,82.78,1043.31,0,0
0,0,0,0,43,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),28.19,1284.74,1,1
1,0,1,0,50,1,Yes,DSL,No,No,No,No,No,Yes,Two year,0,Mailed check,113.2,5426.99,0,2
0,0,0,0,64,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Credit card (automatic),79.2,5412.52,1,0
1,0,0,0,24,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Mailed check,74.0,1853.8,0,2
0,1,0,0,60,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,29.05,1601.8,0,1
1,0,0,1,16,1,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,1,Electronic check,26.01,386.72,0,0
1,0,0,0,51,0,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed check,47.43,2451.25,1,0
0,1,0,0,57,1,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,0,Credit card (automatic),104.29,6354.41,1,0
0,0,0,0,56,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,98.0,5518.52,0,2
0,0,1,1,37,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,75.09,2638.73,0,1
1,0,1,0,68,1,Yes,DSL,No,No,No,No,No,No,One year,1,Electronic check,91.52,6282.83,0,2
1,0,0,1,36,1,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,118.0,4137.66,0,2
1,0,0,0,33,1,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,1,Mailed check,37.1,1323.3,0,2
0,1,0,1,34,0,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),93.12,2956.78,0,2
1,0,0,0,59,1,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,1,Electronic check,81.92,4675.52,0,0
1,1,0,0,38,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Mailed check,115.87,4008.75,0,0
1,0,1,0,45,1,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),20.65,929.42,0,2
0,0,0,0,15,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Mailed check,34.08,473.13,0,0
0,0,0,0,30,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,0,Electronic check,31.06,860.46,0,0
1,0,0,1,13,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,35.46,446.03,0,1
0,0,1,0,46,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,0,Bank transfer (automatic),90.15,4551.03,0,0
0,0,1,1,31,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,37.08,1128.19,1,0
0,0,1,0,16,1,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,1,Electronic check,81.67,1300.72,1,2
0,0,1,0,55,1,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),70.86,3586.23,0,0
0,1,1,1,35,0,No phone service,DSL,No,No,No,Yes,No,No,Two year,1,Electronic check,61.62,2354.39,0,2
0,0,1,0,41,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Electronic check,63.48,2709.06,0,0
0,0,0,0,18,1,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),60.35,985.5,0,0
0,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Two year,0,Electronic check,117.33,739.82,0,2
0,0,0,1,54,1,No,DSL,No,No,No,Yes,Yes,Yes,One year,1,Credit card (automatic),117.56,6801.5,0,2
1,1,0,0,29,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),50.01,1355.72,1,1
1,0,0,0,28,1,No,DSL,No,Yes,No,No,No,No,Two year,1,Mailed check,40.69,1244.96,0,2
0,0,1,0,66,0,No phone service,Fiber optic,No,No,No,No,No,No,One year,0,Credit card (automatic),38.16,2661.23,0,0
0,0,1,0,33,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,69.62,2466.09,0,1
0,0,0,1,33,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,98.7,3271.67,0,0
0,0,0,1,1,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,1,Electronic check,67.99,70.73,0,0
1,0,1,1,26,1,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,1,Electronic check,117.32,3132.82,0,0
0,0,1,0,46,0,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),112.7,5630.09,0,2
